activityUNit,activityMultiplier,unifiedUnit
GJ,1,GJ
NA,1,NA
Mg,1,Mg
kg,1000,Mg
,1,
te,1,te
LTO,1,LTO
km,1,km
vehicle,1,vehicle
hr,1,hr
ha,1,ha
m3,1,m3
g,0.000001,Mg
m2,0.0001,ha
ton,1,Mg
person,1,person
hl,0.1,m3
body,1,body
fire,1,fire
hole,1,hole
MWh,0.001,GWH
pair,1,pair
car,1,car
capita,1,capita
MJ,0.001,GJ
kton,1000,Mg
bus,1,bus
