emissionUNit,emissionMultiplier,emissionUnitUnified
µg,1000000.00,g
mg,1000.00,g
ng,1000000000.00,g
g,1.00,g
ug,1000000.00,g
I-Teq,1.00,I-Teq
%,1.00,%
0,1.00,0
NA,1.00,NA
"0,55",1.00,"0,55"
kg,1.00,kg
"0,2",1.00,"0,2"
"0,7",1.00,"0,7"
"0,5",1.00,"0,5"
"0,1",1.00,"0,1"
"0,05",1.00,"0,05"
"0,35",1.00,"0,35"
1.5,1.00,1.5
gTEQ,1.00,gTEQ
MJ,1.00,MJ
Mg,1000000.00,g
ton,1000000.00,g
